#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_hultail;Hultail;Hultail;Hultail;Hultail;;;;;;;;;x
b_icewinddale;Sample province 1;Sample province 1;Sample province 1;Sample province 1;;;;;;;;;x
b_icewinddale2;Sample province 2;Sample province 2;Sample province 2;Sample province 2;;;;;;;;;x
b_junirill;Junirill;Junirill;Junirill;Junirill;;;;;;;;;x
b_kallamarn;Kallamarn;Kallamarn;Kallamarn;Kallamarn;;;;;;;;;x
b_knightswood;Knightswood;Knightswood;Knightswood;Knightswood;;;;;;;;;x
b_lost_refuge;Lost Refuge;Lost Refuge;Lost Refuge;Lost Refuge;;;;;;;;;x
b_marsember;Marsember;Marsember;Marsember;Marsember;;;;;;;;;x
b_minroe;Minroe;Minroe;Minroe;Minroe;;;;;;;;;x
b_monksblade;Monksblade;Monksblade;Monksblade;Monksblade;;;;;;;;;x
b_moonever;Moonever;Moonever;Moonever;Moonever;;;;;;;;;x
b_mouth_o_gargoyles;Mouth O' Gargoyles;Mouth O' Gargoyles;Mouth O' Gargoyles;Mouth O' Gargoyles;;;;;;;;;x
b_nesmyth;Nesmyth;Nesmyth;Nesmyth;Nesmyth;;;;;;;;;x
b_onguls_water;Ongul's Water;Ongul's Water;Ongul's Water;Ongul's Water;;;;;;;;;x
b_orvaskyte_keep;Orvaskyte Keep;Orvaskyte Keep;Orvaskyte Keep;Orvaskyte Keep;;;;;;;;;x
b_redspring;Redspring;Redspring;Redspring;Redspring;;;;;;;;;x
b_skull_crag;Skull Crag;Skull Crag;Skull Crag;Skull Crag;;;;;;;;;x
b_slingdyke;Slingdyke;Slingdyke;Slingdyke;Slingdyke;;;;;;;;;x
b_smugglers_stone;Smuggler's Stone;Smuggler's Stone;Smuggler's Stone;Smuggler's Stone;;;;;;;;;x
b_stagsteads;Stagsteads;Stagsteads;Stagsteads;Stagsteads;;;;;;;;;x
b_sunset_hill;Sunset Hill;Sunset Hill;Sunset Hill;Sunset Hill;;;;;;;;;x
b_suzail;Suzail;Suzail;Suzail;Suzail;;;;;;;;;x
b_tilverton;Tilverton;Tilverton;Tilverton;Tilverton;;;;;;;;;x
b_thunderholme;Thunderholme;Thunderholme;Thunderholme;Thunderholme;;;;;;;;;x
b_thunderstone;Thunderstone;Thunderstone;Thunderstone;Thunderstone;;;;;;;;;x
b_tower_of_ruin;Tower of Ruin;Tower of Ruin;Tower of Ruin;Tower of Ruin;;;;;;;;;x
b_tyrluk;Tyrluk;Tyrluk;Tyrluk;Tyrluk;;;;;;;;;;x
b_waymoot;Waymoot;Waymoot;Waymoot;Waymoot;;;;;;;;;x
b_wheloon;Wheloon;Wheloon;Wheloon;Wheloon;;;;;;;;;x
b_wormtower;Wormtower;Wormtower;Wormtower;Wormtower;;;;;;;;;x
c_cormyr;Cormyr;Cormyr;Cormyr;Cormyr;;;;;;;;;x
c_east_cormyr;East Cormyr;East Cormyr;East Cormyr;East Cormyr;;;;;;;;;x
c_eastern_stormhorns;Eastern Stormhorns;Eastern Stormhorns;Eastern Stormhorns;Eastern Stormhorns;;;;;;;;;x
c_hermits_woods;Hermit's Woods;Hermit's Woods;Hermit's Woods;Hermit's Woods;;;;;;;;;x
c_hullack_forest;Hullack Forest;Hullack Forest;Hullack Forest;Hullack Forest;;;;;;;;;x
c_kings_forest;King's Forest;King's Forest;King's Forest;King's Forest;;;;;;;;;x
c_tilverton;Tilverton;Tilverton;Tilverton;Tilverton;;;;;;;;;x
c_the_stonelands;The Stonelands;The Stonelands;The Stonelands;The Stonelands;;;;;;;;;x
c_the_stormhorns;The Stormhorns;The Stormhorns;The Stormhorns;The Stormhorns;;;;;;;;;x
c_the_vast_swamp;The Vast Swamp;The Vast Swamp;The Vast Swamp;The Vast Swamp;;;;;;;;;x
c_thunderpeaks;Thunderpeaks;Thunderpeaks;Thunderpeaks;Thunderpeaks;;;;;;;;;x
d_cormyr;Cormyr;Cormyr;Cormyr;Cormyr;;;;;;;;;x
d_east_cormyr;East Cormyr;East Cormyr;East Cormyr;East Cormyr;;;;;;;;;x
d_icewinddale;Icewind Dale;Icewind Dale;Icewind Dale;Icewind Dale;;;;;;;;;x
d_the_stonelands;The Stonelands;The Stonelands;The Stonelands;The Stonelands;;;;;;;;;x
d_the_stormhorns;The Stormhorns;The Stormhorns;The Stormhorns;The Stormhorns;;;;;;;;;x
k_cormyr;Cormyr;Cormyr;Cormyr;Cormyr;;;;;;;;;x
k_icewinddale;Icewind Dale;Icewind Dale;Icewind Dale;Icewind Dale;;;;;;;;;x
world_cormyr;Cormyr;Cormyr;Cormyr;Cormyr;;;;;;;;;x
world_faerun;Faerûn;Faerûn;Faerûn;Faerûn;;;;;;;;;x
world_icewinddale;Icewind Dale;Icewind Dale;Icewind Dale;Icewind Dale;;;;;;;;;x
